,xPos,yPos,zPos,Efficiency
412,80.0,270.0,0.0,0.0003838
413,80.0,280.0,0.0,0.00036705
414,80.0,290.0,0.0,0.00033445
415,80.0,300.0,0.0,0.00032015
416,80.0,310.0,0.0,0.00030445
417,80.0,320.0,0.0,0.00028465
418,80.0,330.0,0.0,0.000269
419,80.0,340.0,0.0,0.0002539
420,80.0,350.0,0.0,0.00024825
421,80.0,360.0,0.0,0.00023675
422,80.0,370.0,0.0,0.0002216
423,80.0,380.0,0.0,0.0002078
424,80.0,390.0,0.0,0.0002017
425,80.0,400.0,0.0,0.00019205
426,80.0,410.0,0.0,0.00018675
427,80.0,420.0,0.0,0.0001748
428,80.0,430.0,0.0,0.00016605
429,80.0,440.0,0.0,0.00016725
430,80.0,450.0,0.0,0.00015575
431,80.0,460.0,0.0,0.0001479
432,80.0,470.0,0.0,0.0001434
433,80.0,480.0,0.0,0.0001369
434,80.0,490.0,0.0,0.0001331
435,80.0,500.0,0.0,0.0001272
436,80.0,510.0,0.0,0.00011945
437,80.0,520.0,0.0,0.0001169
438,80.0,530.0,0.0,0.00011285
439,80.0,540.0,0.0,0.0001109
440,80.0,550.0,0.0,0.0001048
441,80.0,560.0,0.0,0.00010355
442,80.0,570.0,0.0,0.00010185
443,80.0,580.0,0.0,9.865e-05
444,80.0,590.0,0.0,9.2e-05
445,80.0,600.0,0.0,9.035e-05
446,80.0,610.0,0.0,8.505e-05
447,80.0,620.0,0.0,8.58e-05
448,80.0,630.0,0.0,8.37e-05
449,80.0,640.0,0.0,7.775e-05
450,90.0,150.0,0.0,0.0009217
451,90.0,160.0,0.0,0.0008456
452,90.0,170.0,0.0,0.0007744
453,90.0,180.0,0.0,0.0007142
454,90.0,190.0,0.0,0.00065555
455,90.0,200.0,0.0,0.0006052
456,90.0,210.0,0.0,0.0005671
457,90.0,220.0,0.0,0.0005263
458,90.0,230.0,0.0,0.00049375
459,90.0,240.0,0.0,0.00045655
460,90.0,250.0,0.0,0.00042605
461,90.0,260.0,0.0,0.00040865
462,90.0,270.0,0.0,0.0003798
463,90.0,280.0,0.0,0.0003549
464,90.0,290.0,0.0,0.0003299
465,90.0,300.0,0.0,0.00031635
466,90.0,310.0,0.0,0.000297
467,90.0,320.0,0.0,0.00028395
468,90.0,330.0,0.0,0.0002689
469,90.0,340.0,0.0,0.000258
470,90.0,350.0,0.0,0.00024255
471,90.0,360.0,0.0,0.0002299
472,90.0,370.0,0.0,0.0002178
473,90.0,380.0,0.0,0.00020535
474,90.0,390.0,0.0,0.000199
475,90.0,400.0,0.0,0.0001891
476,90.0,410.0,0.0,0.0001849
477,90.0,420.0,0.0,0.0001753
478,90.0,430.0,0.0,0.00016745
479,90.0,440.0,0.0,0.00015975
480,90.0,450.0,0.0,0.00015725
481,90.0,460.0,0.0,0.0001475
482,90.0,470.0,0.0,0.00013945
483,90.0,480.0,0.0,0.00013425
484,90.0,490.0,0.0,0.00012885
485,90.0,500.0,0.0,0.00012715
